season,team,epa_per_play
2024,PIT,0.009333732225555235
2011,SEA,-0.06375984458510381
2012,SEA,0.0945027744725979
2013,SEA,0.04393762836838337
2014,SEA,0.028726318730049227
2015,SEA,0.051334623820729744
2016,SEA,0.003306417553252885
2017,SEA,-0.03985531369820953
2018,SEA,0.04988916810767662
2019,SEA,0.006933062784364141
2020,SEA,0.07431919361458199
2021,SEA,0.016567076785455496
2022,SEA,0.018422252745659246
2023,SEA,0.015926547464553693
2024,SEA,-0.009603738811105256
2011,SF,0.014717598886020441
2012,SF,0.08137873903335092
2013,SF,0.04564546366455867
2014,SF,-0.04720042579323366
2015,SF,-0.0864017707438475
2016,SF,-0.09215787068910275
2017,SF,-0.034905976466106645
2018,SF,-0.030660340141962925
2019,SF,0.04768521978153186
2020,SF,-0.01038465611720856
2021,SF,0.030501905739957643
2022,SF,0.041175661918635816
2023,SF,0.11776708210581123
2024,SF,0.023533555704212776
2011,TB,-0.06977981267201631
2012,TB,0.014085239781329096
2013,TB,-0.06895342103891942
2014,TB,-0.10384797454664853
2015,TB,-0.027510072042133453
2016,TB,-0.028527480613880832
2017,TB,-0.019039285517652913
2018,TB,0.014564063273321225
2019,TB,-0.028718149251527225
2020,TB,0.08903033903864255
2021,TB,0.06356883784251646
2022,TB,-0.05521357766818545
2023,TB,-0.007972966715307938
2024,TB,0.10280122829509446
2011,TEN,-0.007635169355930932
2012,TEN,-0.07489405613042616
2013,TEN,0.010753043843307908
2014,TEN,-0.10610287365411998
2015,TEN,-0.08745937929559872
2016,TEN,0.00455663479363978
2017,TEN,-0.03960319704703477
2018,TEN,-0.022490132598491783
2019,TEN,0.029847151142816795
2020,TEN,0.12118000259299107
2021,TEN,-0.003969612044381541
2022,TEN,-0.06615863853472906
2023,TEN,-0.031330815388004474
2024,TEN,-0.08962231216025723
2011,WAS,-0.0612851562108028
2012,WAS,0.07411826266881831
2013,WAS,-0.07239588208253517
2014,WAS,-0.05741936192803008
2015,WAS,0.005603868460856225
2016,WAS,0.05759731891789358
2017,WAS,-0.086360820740809
2018,WAS,-0.05887234832895202
2019,WAS,-0.1083368238484777
2020,WAS,-0.04454370195366186
2021,WAS,-0.0398192872132998
2022,WAS,-0.05435551827270933
2023,WAS,-0.0844741014220474
2024,WAS,0.11516697047878713
